,collection_slug,created_date,total_supply,num_owners,floor_price,market_cap,thirty_day_volume
1,boredapeyachtclub,2021-04-22,10000,6081,75.7363,791889,47976.26876597454
68,neotokyo-citizens,2021-12-06,1945,1820,45.99,140094,1976.87273
8,bored-ape-chemistry-club,2021-08-28,3,1230,16.69,100,9063.299489999992
0,mutant-ape-yacht-club,2021-08-29,17670,11171,15.0,281373,50009.55319056477
22,neotokyo-outer-identities,2021-12-11,4492,4005,11.75,46591,11738.182335553976
12,cool-cats-nft,2021-06-27,9933,5054,11.35,109641,7836.957081979032
71,clonex-mintvial,2021-11-27,774,731,11.32,7852,19003.02343839797
55,veefriends,2021-05-11,10255,5153,10.0,113756,2680.941310122004
3,doodles-official,2021-10-17,9999,5508,7.69,80356,15453.518149345264
36,cyberkongz,2021-04-16,5000,2336,7.09,38045,4837.046831410536
48,guttercatgang,2021-06-08,3000,1755,6.9,22241,2341.6416691899776
6,clonex,2021-12-12,18360,7376,6.5,120045,53234.77397804394
79,metahero-generative,2021-09-05,6085,499,6.0,31532,1274.0906000000014
5,bored-ape-kennel-club,2021-06-18,9601,5223,5.55,61696,10311.049034111684
38,cryptoadz-by-gremplin,2021-09-08,7025,3667,3.99,25901,5195.040936002705
60,meebits,2021-05-03,19998,5489,3.98,80873,2643.5079305056806
7,sandbox,2019-12-04,103228,17821,3.58,395601,20933.73614520431
15,nft-worlds,2021-10-06,9996,4566,3.48,29883,5757.028206317877
39,decentraland,2019-04-26,97198,6242,3.46784001,526775,7399.3600698115
97,asm-aifa-genesis,2021-10-19,10000,1499,3.399,23901,1514.2610399000012
